"選択された条件"
"表示銘柄件数：543件"

"ティッカー","名称","連動指標","市場","ファクトシート","コメント"
"SHE","SPDR SSGA ジェンダー ダイバーシティ インデックス ETF","SSGA ジェンダー・ダイバーシティ指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-she.pdf","SSGA ジェンダー・ダイバーシティ指数の経費控除前のトータルリターンに概ね連動する投資成果を上げることを目標としている"
"SHLD","グローバルX 防衛テック ETF","--","NYSE Arca","https://www.globalxetfs.com/content/files/SHLD-factsheet.pdf","サイバーセキュリティ・システムの構築と管理、人工知能とビッグデータの活用、ロボティクス、燃料システム、航空機などの高度な軍事システムやハードウェアを構築する企業を含む？防衛テックの導入と活用の拡大から利益を得ることができる企業への投資を行う。"
"SHV","iシェアーズ 米国短期国債 ETF","ICE短期米国債指数","NASDAQ","http://jp.ishares.com/documents/ja/factsheet-ja/us/shv-ishares-barclays-short-treasury-bond-fund.pdf","ICE短期米国債指数に連動する。同インデックスは残存期間1～12ヶ月の米国財務省の公的債務のパフォーマンスを測る指標で、発行残高（額面ベース）が2億5000万ドル以上で、米ドル建て非転換確定利付証券である米国財務省証券を組み入れている。"
"SHY","iシェアーズ 米国国債 1-3年 ETF","ICE米国財務省(1-3年) インデックス","NASDAQ","http://jp.ishares.com/documents/ja/factsheet-ja/us/shy-ishares-barclays-1-3-year-treasury-bond-fund.pdf","バークレイズ 米国国債（1-3年）インデックスに連動する。同インデックスは公開発行され、残存期間が1～3年、米ドル建て非転換確定利付証券、ムーディーズで投資適格（Baa3以上）の格付け、固定金利、発行残高（額面ベース）2億5000万ドル以上の米国財務省証券を組み入れている。"
"SIL","GLX シルバー マイナーズ ETF","ソラクティブ・グローバル銀鉱山インデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/SIL-factsheet_J.pdf","ソラクティブ・グローバル銀鉱山インデックスの価格および利回り実績に概ね連動する投資成果を目指す。"
"SJNK","SPDRブルームバーグ 短期ハイ・イールド債券ETF","ブルームバーグ・バークレイズ米国ハイ・イールド・350mnキャッシュペイ0-5年・2%キャップド指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-sjnk.pdf","ブルームバーグ・バークレイズ米国ハイ・イールド・350mnキャッシュペイ0-5年・2%キャップド指数の価格と利回りのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"SKYY","FT クラウドコンピューティング ETF","ISE　CTA　クラウドコンピューティング指数 ","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/SKYY_Factsheet.pdf","米国上場のクラウド・コンピューティング関連銘柄に投資します。"
"SLV","iシェアーズ シルバー・トラスト","ロンドン渡し銀価格","NYSE Arca","http://jp.ishares.com/documents/ja/factsheet-ja/us/slv-ishares-silver-trust.pdf","投資ポートフォリオに銀の価格へのエクスポージャーを確保する単純かつコスト効率の高い手法を投資家に提供することを目指したグランター・トラストです。当トラストは銀地金を保有し、常に当該時点でトラストが保有する銀の価格からトラストの費用および負債を控除した値を反映させるように設計されています。当トラストの受益証券はNYSEARCAに「SLV」というティッカー・シンボルで上場されています。この受益証券は、あらゆる株式と同様、同取引所において市場価格で売買できます。 "
"SLX","ヴァンエック ベクトル鉄鋼ETF","ニューヨーク証券取引所アーカ鉄鋼指数","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_SLX_150514.pdf","ニューヨーク証券取引所アーカ鉄鋼指数にできるだけ連動する投資成果をあげることを目標とする。"
"SMCL","グラナイトシェアーズ　2倍　ロング　SMCI　デイリーETF","--","NASDAQ","https://graniteshares.com/media/jpwi5flw/smcl-graniteshares-2x-long-smci-daily-etf.pdf","スーパーマイクロ・コンピューター普通株式の日次変化率の200％の投資成果を追求する。"
"SMH","ヴァンエック ベクトル半導体ETF","ヴァンエック ベクトル米国上場半導体25指数","NASDAQ","http://search.sbisec.co.jp/v3/ex/etf_SMH_150514.pdf","ヴァンエック ベクトル米国上場半導体25指数にできるだけ連動する投資成果をあげることを目標とする。"
"SOCL","グローバル　X ソーシャルメディア　ETF","ソラクティブ・ソーシャルメディア・トータル・リターン・インデックス","NASDAQ","https://globalxetfs.co.jp/content/files/SOCL-factsheet-JPN-1.pdf","ソラクティブ・ソーシャルメディア・トータル・リターン・インデックス（Solactive Social Media Total Return Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す"
"SOXL","Direxion デイリー 半導体株 ブル 3倍 ETF","NYSE半導体・セクター指数","NYSE Arca","https://www.direxion.com/uploads/SOXL-SOXS-Fact-Sheet.pdf","NYSE半導体・セクター指数の運用実績（手数料・費用控除前）の3倍（300％）の日次投資成果を目指し運用する。"
"SOXS","Direxion デイリー 半導体株 ベア 3倍 ETF","NYSE半導体・セクター指数","NYSE Arca","https://www.direxion.com/uploads/SOXL-SOXS-Fact-Sheet.pdf","NYSE半導体・セクター指数の運用実績（手数料・費用控除前）の逆数（反対）の3倍（300％）の日次投資成果を目指し運用する。"
"SPAB","SPDRポートフォリオ米国総合債券ETF","ブルームバーグ・バークレイズUSアグリゲート指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spab.pdf","ブルームバーグ・バークレイズUSアグリゲート指数の価格と利回りのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。 "
"SPDN","Direxion デイリー S&P 500 ベア1倍 ETF","S&P500指数","NYSE Arca","https://www.direxion.com/uploads/SPDN-Fact-Sheet.pdf","S&P500指数の日々のパフォーマンスの-100％の日々の投資成果を追求する。"
"SPDW","SPDRポートフォリオ先進国株式（除く米国）ETF","S&P 先進国（除く米国）BMI指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spdw.pdf","S&PR 先進国（除く米国）BMI指数のトータルリターンのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"SPEM","SPDRポートフォリオ 新興国株式 ETF  ","S&P新興国BMI指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spem.pdf","SPDRポートフォリオS&P新興国市場ETF（SPDR Portfolio S&P Emerging Markets ETF）は 、米国籍のETF（上場投資信託）。S&P新興国BMI指数に連動する投資成果を目指す。新興 国市場のあらゆる時価総額規模の株式に投資。浮動株調整後時価総額が1億ドルで、年間 の取引流動性の最低額が5000万ドルの投資を対象とする。時価総額ベースで保有銘柄のウエートを算定。"
"SPFF","グローバルX スーパーインカムプリファードETF","グローバルＸ・ハイイールド優先証券インデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/SPFF-factsheet_J.pdf","グローバルＸ・ハイイールド優先証券インデックスの価格および利回り実績に概ね連動する投資成果を目指す。同指数は、サイズ、流動性、発行体比率、格付け、および満期日に関連する特定の条件に合致した優先株で構成される。"
"SPHY","SPDR ポートフォリオ ハイ イールド債ETF","ICE BofA米国ハイイールド指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-sphy.pdf","ICE BofAML US US High Yield指数の価格と利回り実績（経費控除前）に連動する投資成果を目指します。"
"SPIB","SPDRポートフォリオ米国中期社債ETF","ブルームバーグ・バークレイズ米国社債中期指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spib.pdf","ブルームバーグ・バークレイズ米国社債中期指数の価格と利回りのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"SPIP","SPDR ポートフォリオ米国物価連動国債ETF","ブルームバーグ米国インフレ連動国債指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spip.pdf","ブルームバーグ米国政府物価連動債指数の価格と利回り実績（経費控除前）に連動する投資成果を目指します。"
"SPLB","SPDRポートフォリオ米国長期社債ETF","ブルームバーグ・バークレイズ米国社債長期指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-splb.pdf","ブルームバーグ・バークレイズ米国社債長期指数の価格と利回りのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"SPLG","SPDRR ポートフォリオS&P 500R ETF","S&P 500R指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-splg.pdf","S&P 500R指数のトータルリターンのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"SPMB","SPDR  ポートフォリオ モーゲージ債券ETF","ブルームバーグ米国MBS指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spmb.pdf","ブルームバーグ米国MBS指数の価格と利回り実績（経費控除前）に連動する投資成果を目指します。"
"SPMD","SPDRR ポートフォリオS&P 400中型株式ETF","S&P中型株400指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spmd.pdf","S&P中型株400指数のトータルリターンのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"SPSB","SPDRポートフォリオ米国短期社債ETF","ブルームバーグ・バークレイズ米国社債1-3年指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spsb.pdf","ブルームバーグ・バークレイズ米国社債1-3年指数の価格と利回りのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。 "
"SPSM","SPDRR ポートフォリオS&P 600小型株式ETF","S&P小型株600指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spsm.pdf","S&P小型株600指数のトータルリターンのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"SPTI","SPDR(R) ポートフォリオ米国中期国債ETF","ブルームバーグ・バークレイズ 中期米国国債 指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-spti.pdf","ブルームバーグ・バークレイズ 中期米国国債 指数に連動した成果を目指す。"
